20.10.19 05:17:39.600 37.663063N 122.489326W 29.58C 1005.26| 0.00C 0.00| 0.00C 0.00| dv<1.29 0.73 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:43.500 37.663071N 122.489326W 29.56C 1005.24| 24.98C 1004.45| 0.00C 0.00| dv<1.25 0.70 9.68> r<0.02 -0.00 0.01>
20.10.19 05:17:43.600 37.663071N 122.489326W 29.56C 1005.26| 24.98C 1004.42| 0.00C 0.00| dv<1.27 0.71 9.64> r<0.02 0.00 0.01>
20.10.19 05:17:43.700 37.663071N 122.489326W 29.56C 1005.25| 24.99C 1004.46| 0.00C 0.00| dv<1.25 0.69 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:43.800 37.663071N 122.489326W 29.56C 1005.24| 24.99C 1004.45| 0.00C 0.00| dv<1.26 0.72 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:43.900 37.663071N 122.489326W 29.56C 1005.26| 25.00C 1004.44| 0.00C 0.00| dv<1.25 0.70 9.65> r<0.03 -0.01 0.01>
20.10.19 05:17:44.000 37.663071N 122.489326W 29.56C 1005.25| 25.00C 1004.44| 0.00C 0.00| dv<1.29 0.73 9.61> r<0.02 -0.00 0.00>
20.10.19 05:17:44.100 37.663071N 122.489326W 29.56C 1005.25| 25.00C 1004.45| 0.00C 0.00| dv<1.22 0.71 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:44.200 37.663071N 122.489326W 29.56C 1005.25| 25.00C 1004.43| 0.00C 0.00| dv<1.25 0.70 9.67> r<0.02 -0.00 0.01>
20.10.19 05:17:44.300 37.663071N 122.489326W 29.56C 1005.27| 25.00C 1004.46| 0.00C 0.00| dv<1.29 0.70 9.59> r<0.02 0.00 0.01>
20.10.19 05:17:44.400 37.663071N 122.489326W 29.55C 1005.26| 25.00C 1004.42| 0.00C 0.00| dv<1.24 0.74 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:44.500 37.663071N 122.489326W 29.55C 1005.25| 25.01C 1004.46| 0.00C 0.00| dv<1.28 0.75 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:44.600 37.663071N 122.489326W 29.55C 1005.27| 25.01C 1004.44| 0.00C 0.00| dv<1.22 0.72 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:44.700 37.663071N 122.489326W 29.55C 1005.26| 25.01C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.67> r<0.03 -0.00 0.01>
20.10.19 05:17:44.800 37.663071N 122.489326W 29.55C 1005.24| 25.02C 1004.45| 0.00C 0.00| dv<1.28 0.75 9.67> r<0.02 0.00 0.01>
20.10.19 05:17:44.900 37.663071N 122.489326W 29.55C 1005.27| 25.01C 1004.42| 0.00C 0.00| dv<1.26 0.70 9.67> r<0.02 0.00 0.01>
20.10.19 05:17:45.000 37.663071N 122.489326W 29.55C 1005.23| 25.02C 1004.43| 0.00C 0.00| dv<1.27 0.72 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:45.100 37.663071N 122.489326W 29.55C 1005.24| 25.02C 1004.47| 0.00C 0.00| dv<1.27 0.73 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:45.200 37.663071N 122.489326W 29.55C 1005.24| 25.01C 1004.44| 0.00C 0.00| dv<1.25 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:45.300 37.663071N 122.489326W 29.55C 1005.25| 25.02C 1004.44| 0.00C 0.00| dv<1.26 0.72 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:45.400 37.663071N 122.489326W 29.55C 1005.27| 25.01C 1004.46| 0.00C 0.00| dv<1.27 0.73 9.60> r<0.03 -0.00 0.01>
20.10.19 05:17:45.500 37.663071N 122.489326W 29.54C 1005.25| 25.02C 1004.45| 0.00C 0.00| dv<1.25 0.72 9.66> r<0.03 0.00 0.01>
20.10.19 05:17:45.600 37.663071N 122.489326W 29.54C 1005.25| 25.02C 1004.45| 0.00C 0.00| dv<1.26 0.75 9.64> r<0.03 0.00 0.01>
20.10.19 05:17:45.700 37.663071N 122.489326W 29.54C 1005.24| 25.02C 1004.44| 0.00C 0.00| dv<1.26 0.75 9.59> r<0.02 0.00 0.01>
20.10.19 05:17:45.800 37.663071N 122.489326W 29.54C 1005.25| 25.02C 1004.43| 0.00C 0.00| dv<1.27 0.69 9.61> r<0.02 -0.00 0.01>
20.10.19 05:17:45.900 37.663071N 122.489326W 29.54C 1005.27| 25.02C 1004.45| 0.00C 0.00| dv<1.27 0.73 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:46.000 37.663071N 122.489326W 29.54C 1005.26| 25.02C 1004.45| 0.00C 0.00| dv<1.26 0.71 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:46.100 37.663071N 122.489326W 29.54C 1005.27| 25.02C 1004.41| 0.00C 0.00| dv<1.26 0.71 9.63> r<0.03 0.00 0.01>
20.10.19 05:17:46.200 37.663071N 122.489326W 29.54C 1005.25| 25.02C 1004.44| 0.00C 0.00| dv<1.28 0.69 9.61> r<0.02 -0.00 0.01>
20.10.19 05:17:46.300 37.663071N 122.489326W 29.53C 1005.24| 25.03C 1004.42| 0.00C 0.00| dv<1.28 0.74 9.62> r<0.03 0.00 0.01>
20.10.19 05:17:46.400 37.663071N 122.489326W 29.54C 1005.24| 25.03C 1004.43| 0.00C 0.00| dv<1.26 0.70 9.66> r<0.03 -0.00 0.01>
20.10.19 05:17:46.500 37.663071N 122.489326W 29.53C 1005.25| 25.03C 1004.42| 0.00C 0.00| dv<1.24 0.68 9.59> r<0.02 0.00 0.01>
20.10.19 05:17:46.600 37.663071N 122.489326W 29.53C 1005.24| 25.02C 1004.42| 0.00C 0.00| dv<1.28 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:46.700 37.663071N 122.489326W 29.53C 1005.26| 25.01C 1004.45| 0.00C 0.00| dv<1.24 0.74 9.62> r<0.02 0.00 0.01>
20.10.19 05:17:46.800 37.663071N 122.489326W 29.53C 1005.21| 25.02C 1004.45| 0.00C 0.00| dv<1.25 0.73 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:46.900 37.663071N 122.489326W 29.53C 1005.25| 25.02C 1004.43| 0.00C 0.00| dv<1.26 0.71 9.62> r<0.02 0.00 0.01>
20.10.19 05:17:47.000 37.663071N 122.489326W 29.53C 1005.23| 25.02C 1004.44| 0.00C 0.00| dv<1.24 0.69 9.57> r<0.02 -0.00 0.01>
20.10.19 05:17:47.100 37.663078N 122.489326W 29.53C 1005.27| 25.03C 1004.44| 0.00C 0.00| dv<1.24 0.71 9.59> r<0.02 -0.01 0.01>
20.10.19 05:17:47.200 37.663078N 122.489326W 29.53C 1005.21| 25.03C 1004.44| 0.00C 0.00| dv<1.25 0.72 9.60> r<0.03 -0.00 0.01>
20.10.19 05:17:47.300 37.663078N 122.489326W 29.52C 1005.22| 25.03C 1004.45| 0.00C 0.00| dv<1.28 0.70 9.62> r<0.03 -0.00 0.01>
20.10.19 05:17:47.400 37.663078N 122.489326W 29.53C 1005.23| 25.03C 1004.45| 0.00C 0.00| dv<1.28 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:47.500 37.663078N 122.489326W 29.52C 1005.25| 25.03C 1004.44| 0.00C 0.00| dv<1.25 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:47.600 37.663078N 122.489326W 29.52C 1005.23| 25.02C 1004.44| 0.00C 0.00| dv<1.24 0.68 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:47.700 37.663078N 122.489326W 29.53C 1005.26| 25.03C 1004.43| 0.00C 0.00| dv<1.28 0.71 9.63> r<0.03 -0.00 0.01>
20.10.19 05:17:47.800 37.663078N 122.489326W 29.52C 1005.23| 25.02C 1004.43| 0.00C 0.00| dv<1.28 0.72 9.64> r<0.02 0.00 0.01>
20.10.19 05:17:47.900 37.663078N 122.489326W 29.53C 1005.25| 25.02C 1004.43| 0.00C 0.00| dv<1.22 0.75 9.61> r<0.02 0.00 0.01>
20.10.19 05:17:48.000 37.663078N 122.489326W 29.53C 1005.25| 25.03C 1004.42| 0.00C 0.00| dv<1.23 0.72 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:48.100 37.663078N 122.489326W 29.52C 1005.23| 25.03C 1004.44| 0.00C 0.00| dv<1.28 0.74 9.58> r<0.02 0.00 0.01>
20.10.19 05:17:48.200 37.663078N 122.489326W 29.52C 1005.25| 25.03C 1004.44| 0.00C 0.00| dv<1.30 0.70 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:48.300 37.663078N 122.489326W 29.52C 1005.24| 25.03C 1004.46| 0.00C 0.00| dv<1.23 0.71 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:48.400 37.663078N 122.489326W 29.52C 1005.24| 25.03C 1004.45| 0.00C 0.00| dv<1.27 0.72 9.64> r<0.03 0.00 0.01>
20.10.19 05:17:48.500 37.663078N 122.489326W 29.52C 1005.25| 25.04C 1004.44| 0.00C 0.00| dv<1.28 0.70 9.65> r<0.02 0.00 0.01>
20.10.19 05:17:48.600 37.663078N 122.489326W 29.52C 1005.27| 25.03C 1004.45| 0.00C 0.00| dv<0.97 0.73 9.68> r<0.02 -0.00 0.01>
20.10.19 05:17:48.700 37.663078N 122.489326W 29.53C 1005.24| 25.04C 1004.44| 0.00C 0.00| dv<1.28 0.70 9.59> r<0.02 -0.00 0.01>
20.10.19 05:17:48.800 37.663078N 122.489326W 29.52C 1005.27| 25.04C 1004.42| 0.00C 0.00| dv<1.27 0.71 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:48.900 37.663078N 122.489326W 29.52C 1005.25| 25.04C 1004.46| 0.00C 0.00| dv<1.24 0.71 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:49.000 37.663078N 122.489326W 29.52C 1005.25| 25.04C 1004.44| 0.00C 0.00| dv<1.24 0.76 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:49.100 37.663082N 122.489326W 29.52C 1005.25| 25.04C 1004.44| 0.00C 0.00| dv<1.29 0.75 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:49.200 37.663082N 122.489326W 29.52C 1005.27| 25.03C 1004.45| 0.00C 0.00| dv<1.28 0.71 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:49.300 37.663082N 122.489326W 29.52C 1005.25| 25.03C 1004.46| 0.00C 0.00| dv<1.27 0.73 9.64> r<0.02 0.00 0.01>
20.10.19 05:17:49.400 37.663082N 122.489326W 29.51C 1005.25| 25.03C 1004.45| 0.00C 0.00| dv<1.26 0.75 9.69> r<0.03 -0.00 0.01>
20.10.19 05:17:49.500 37.663082N 122.489326W 29.51C 1005.26| 25.04C 1004.46| 0.00C 0.00| dv<1.25 0.73 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:49.600 37.663082N 122.489326W 29.51C 1005.24| 25.04C 1004.44| 0.00C 0.00| dv<1.26 0.74 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:49.700 37.663082N 122.489326W 29.51C 1005.24| 25.03C 1004.42| 0.00C 0.00| dv<1.24 0.72 9.64> r<0.02 0.00 0.01>
20.10.19 05:17:49.800 37.663082N 122.489326W 29.51C 1005.25| 25.03C 1004.42| 0.00C 0.00| dv<1.27 0.70 9.70> r<0.02 -0.00 0.01>
20.10.19 05:17:49.900 37.663082N 122.489326W 29.51C 1005.26| 25.04C 1004.44| 0.00C 0.00| dv<1.20 0.72 9.61> r<0.02 0.00 0.01>
20.10.19 05:17:50.000 37.663082N 122.489326W 29.51C 1005.24| 25.04C 1004.44| 0.00C 0.00| dv<1.26 0.70 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:50.100 37.663082N 122.489311W 29.51C 1005.26| 25.04C 1004.42| 0.00C 0.00| dv<1.24 0.72 9.67> r<0.02 0.00 0.01>
20.10.19 05:17:50.200 37.663082N 122.489311W 29.51C 1005.25| 25.03C 1004.45| 0.00C 0.00| dv<1.24 0.73 9.64> r<0.03 -0.00 0.01>
20.10.19 05:17:50.300 37.663082N 122.489311W 29.51C 1005.25| 25.03C 1004.41| 0.00C 0.00| dv<1.25 0.74 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:50.400 37.663082N 122.489311W 29.51C 1005.24| 25.04C 1004.43| 0.00C 0.00| dv<1.21 0.75 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:50.500 37.663082N 122.489311W 29.51C 1005.26| 25.04C 1004.47| 0.00C 0.00| dv<1.23 0.74 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:50.600 37.663082N 122.489311W 29.51C 1005.26| 25.04C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:50.700 37.663082N 122.489311W 29.50C 1005.27| 25.05C 1004.45| 0.00C 0.00| dv<1.26 0.75 9.63> r<0.03 -0.00 0.01>
20.10.19 05:17:50.800 37.663082N 122.489311W 29.51C 1005.25| 25.05C 1004.45| 0.00C 0.00| dv<1.26 0.72 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:50.900 37.663082N 122.489311W 29.51C 1005.27| 25.05C 1004.44| 0.00C 0.00| dv<1.26 0.70 9.57> r<0.03 -0.00 0.01>
20.10.19 05:17:51.000 37.663082N 122.489311W 29.50C 1005.25| 25.04C 1004.44| 0.00C 0.00| dv<1.27 0.73 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:51.100 37.663082N 122.489311W 29.50C 1005.26| 25.04C 1004.44| 0.00C 0.00| dv<1.26 0.75 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:51.200 37.663082N 122.489311W 29.50C 1005.24| 25.05C 1004.43| 0.00C 0.00| dv<1.25 0.74 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:51.300 37.663082N 122.489311W 29.50C 1005.25| 25.05C 1004.47| 0.00C 0.00| dv<1.24 0.72 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:51.400 37.663082N 122.489311W 29.50C 1005.24| 25.05C 1004.45| 0.00C 0.00| dv<1.24 0.72 9.60> r<0.03 0.00 0.01>
20.10.19 05:17:51.500 37.663082N 122.489311W 29.50C 1005.25| 25.04C 1004.42| 0.00C 0.00| dv<1.26 0.70 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:51.600 37.663082N 122.489311W 29.50C 1005.27| 25.05C 1004.44| 0.00C 0.00| dv<1.21 0.71 9.71> r<0.02 0.00 0.01>
20.10.19 05:17:51.700 37.663082N 122.489311W 29.50C 1005.28| 25.05C 1004.44| 0.00C 0.00| dv<1.27 0.71 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:51.800 37.663082N 122.489311W 29.50C 1005.26| 25.05C 1004.43| 0.00C 0.00| dv<1.26 0.75 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:51.900 37.663082N 122.489311W 29.50C 1005.21| 25.05C 1004.43| 0.00C 0.00| dv<1.22 0.74 9.71> r<0.02 0.00 0.01>
20.10.19 05:17:52.000 37.663082N 122.489311W 29.50C 1005.29| 25.06C 1004.45| 0.00C 0.00| dv<1.28 0.74 9.66> r<0.03 0.00 0.01>
20.10.19 05:17:52.100 37.663082N 122.489311W 29.50C 1005.24| 25.05C 1004.44| 0.00C 0.00| dv<1.23 0.72 9.61> r<0.03 0.00 0.01>
20.10.19 05:17:52.200 37.663082N 122.489311W 29.51C 1005.25| 25.06C 1004.44| 0.00C 0.00| dv<1.26 0.73 9.62> r<0.02 0.00 0.01>
20.10.19 05:17:52.300 37.663082N 122.489311W 29.51C 1005.24| 25.05C 1004.44| 0.00C 0.00| dv<1.22 0.70 9.65> r<0.03 -0.00 0.01>
20.10.19 05:17:52.400 37.663090N 122.489311W 29.51C 1005.26| 25.05C 1004.43| 0.00C 0.00| dv<1.23 0.73 9.64> r<0.03 -0.00 0.01>
20.10.19 05:17:52.500 37.663090N 122.489311W 29.51C 1005.26| 25.06C 1004.44| 0.00C 0.00| dv<1.27 0.69 9.65> r<0.03 -0.00 0.01>
20.10.19 05:17:52.600 37.663090N 122.489311W 29.52C 1005.24| 25.06C 1004.45| 0.00C 0.00| dv<1.23 0.74 9.61> r<0.02 -0.00 0.01>
20.10.19 05:17:52.700 37.663090N 122.489311W 29.52C 1005.25| 25.06C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.62> r<0.02 -0.00 0.01>
20.10.19 05:17:52.800 37.663090N 122.489311W 29.52C 1005.26| 25.06C 1004.46| 0.00C 0.00| dv<1.23 0.72 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:52.900 37.663090N 122.489311W 29.52C 1005.24| 25.07C 1004.46| 0.00C 0.00| dv<1.25 0.71 9.64> r<0.03 -0.00 0.01>
20.10.19 05:17:53.000 37.663090N 122.489311W 29.53C 1005.25| 25.06C 1004.44| 0.00C 0.00| dv<1.24 0.73 9.62> r<0.03 -0.00 0.01>
20.10.19 05:17:53.100 37.663090N 122.489311W 29.53C 1005.27| 25.05C 1004.43| 0.00C 0.00| dv<1.25 0.72 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:53.200 37.663090N 122.489311W 29.52C 1005.25| 25.05C 1004.42| 0.00C 0.00| dv<1.25 0.72 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:53.300 37.663090N 122.489311W 29.52C 1005.28| 25.06C 1004.44| 0.00C 0.00| dv<1.25 0.73 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:53.400 37.663097N 122.489311W 29.52C 1005.26| 25.06C 1004.44| 0.00C 0.00| dv<0.93 0.75 9.67> r<0.02 -0.04 0.01>
20.10.19 05:17:53.500 37.663097N 122.489311W 29.52C 1005.25| 25.05C 1004.43| 0.00C 0.00| dv<1.25 0.69 9.68> r<0.02 0.04 0.01>
20.10.19 05:17:53.600 37.663097N 122.489311W 29.52C 1005.27| 25.05C 1004.44| 0.00C 0.00| dv<1.27 0.73 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:53.700 37.663097N 122.489311W 29.51C 1005.27| 25.06C 1004.43| 0.00C 0.00| dv<1.26 0.72 9.67> r<0.02 0.00 0.01>
20.10.19 05:17:53.800 37.663097N 122.489311W 29.51C 1005.26| 25.06C 1004.42| 0.00C 0.00| dv<1.25 0.72 9.67> r<0.02 -0.00 0.01>
20.10.19 05:17:53.900 37.663097N 122.489311W 29.51C 1005.26| 25.05C 1004.43| 0.00C 0.00| dv<1.25 0.73 9.61> r<0.03 0.00 0.01>
20.10.19 05:17:54.000 37.663097N 122.489311W 29.51C 1005.23| 25.06C 1004.44| 0.00C 0.00| dv<1.25 0.73 9.62> r<0.03 -0.00 0.01>
20.10.19 05:17:54.100 37.663097N 122.489311W 29.50C 1005.27| 25.06C 1004.43| 0.00C 0.00| dv<1.23 0.74 9.61> r<0.02 0.04 0.01>
20.10.19 05:17:54.200 37.663097N 122.489311W 29.50C 1005.24| 25.06C 1004.44| 0.00C 0.00| dv<1.26 0.71 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:54.300 37.663097N 122.489311W 29.50C 1005.23| 25.07C 1004.48| 0.00C 0.00| dv<1.21 0.74 9.57> r<0.02 0.00 0.01>
20.10.19 05:17:54.400 37.663097N 122.489288W 29.50C 1005.27| 25.06C 1004.45| 0.00C 0.00| dv<1.21 0.73 9.67> r<0.03 -0.00 0.01>
20.10.19 05:17:54.500 37.663097N 122.489288W 29.50C 1005.27| 25.07C 1004.45| 0.00C 0.00| dv<1.29 0.74 9.66> r<0.03 -0.00 0.01>
20.10.19 05:17:54.600 37.663097N 122.489288W 29.49C 1005.26| 25.06C 1004.45| 0.00C 0.00| dv<1.25 0.70 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:54.700 37.663101N 122.489288W 29.49C 1005.23| 25.07C 1004.45| 0.00C 0.00| dv<1.28 0.75 9.65> r<0.02 0.00 0.01>
20.10.19 05:17:54.800 37.663101N 122.489288W 29.49C 1005.25| 25.07C 1004.42| 0.00C 0.00| dv<1.25 0.72 9.69> r<0.03 0.00 0.01>
20.10.19 05:17:54.900 37.663101N 122.489288W 29.49C 1005.25| 25.07C 1004.46| 0.00C 0.00| dv<1.27 0.73 9.69> r<0.02 -0.00 0.01>
20.10.19 05:17:55.000 37.663101N 122.489288W 29.49C 1005.21| 25.07C 1004.44| 0.00C 0.00| dv<1.25 0.73 9.58> r<0.02 0.00 0.01>
20.10.19 05:17:55.100 37.663101N 122.489288W 29.49C 1005.26| 25.06C 1004.44| 0.00C 0.00| dv<1.26 0.70 9.63> r<0.03 -0.00 0.01>
20.10.19 05:17:55.200 37.663101N 122.489288W 29.49C 1005.24| 25.07C 1004.45| 0.00C 0.00| dv<1.26 0.76 9.60> r<0.03 -0.00 0.01>
20.10.19 05:17:55.300 37.663101N 122.489288W 29.49C 1005.23| 25.07C 1004.44| 0.00C 0.00| dv<1.33 0.78 9.69> r<0.02 -0.01 0.01>
